Frame,FrameTime_ms,Cubes
1,1.2868,10
2,0.0625,10
3,23.4751,10
4,9.8547,10
5,7.6072,10
6,9.381,10
7,9.0368,10
8,11.5999,10
9,9.5196,10
10,7.6759,10
11,7.6974,10
12,7.6257,10
13,8.6833,10
14,7.4672,10
15,8.2037,10
16,9.4621,10
17,7.5979,10
18,8.7802,10
19,11.0448,10
20,10.8019,10
21,11.4521,10
22,9.8391,10
23,8.8105,10
24,7.8012,10
25,8.3238,10
26,7.031,10
27,6.8618,10
28,6.2362,10
29,7.1775,10
30,4.5105,10
31,5.0919,10
32,6.4697,10
33,6.1233,10
34,5.6703,10
35,6.7508,10
36,5.3569,10
37,5.1536,10
38,5.8447,10
39,6.0779,10
40,5.0963,10
41,5.8319,10
42,5.2712,10
43,5.5919,10
44,4.7069,10
45,5.859,10
46,5.5298,10
47,5.5697,10
48,5.2178,10
49,5.495,10
50,5.1908,10
51,5.5486,10
52,4.9586,10
53,6.5269,10
54,5.5171,10
55,5.2146,10
56,6.0859,10
57,5.2758,10
58,8.3307,10
59,2.9043,10
60,6.1562,10
61,5.2117,10
62,5.5324,10
63,5.3388,10
64,5.1614,10
65,5.2223,10
66,5.1368,10
67,5.8907,10
68,5.7734,10
69,5.3917,10
70,4.7108,10
71,6.2247,10
72,5.3721,10
73,5.3159,10
74,6.0627,10
75,4.7893,10
76,5.8323,10
77,5.8186,10
78,5.3383,10
79,4.6357,10
80,6.413,10
81,5.4011,10
82,5.7336,10
83,5.1544,10
84,4.8703,10
85,6.1508,10
86,5.3556,10
87,5.4222,10
88,4.5828,10
89,5.9721,10
90,5.2683,10
91,5.6011,10
92,6.6589,10
93,4.4064,10
94,5.9409,10
95,5.6637,10
96,5.5462,10
97,4.4123,10
98,5.9878,10
99,5.7009,10
100,5.1404,10
101,5.6642,10
102,5.4156,10
103,5.1641,10
104,5.6536,10
105,4.8202,10
106,5.7231,10
107,5.2118,10
108,6.5003,10
109,4.2701,10
110,5.9029,10
111,5.9422,10
112,5.1909,10
113,5.5096,10
114,5.1221,10
115,5.5792,10
116,5.5936,10
117,5.6097,10
118,4.8851,10
119,7.1404,10
120,4.2743,10
121,5.3806,10
122,4.9898,10
123,6.3683,10
124,5.4652,10
125,5.1638,10
126,5.8464,10
127,4.7248,10
128,5.875,10
129,6.5606,10
130,3.8511,10
131,4.8157,10
132,6.4457,10
133,5.1354,10
134,5.5449,10
135,6.1839,10
136,4.4113,10
137,5.1832,10
138,6.442,10
139,4.7961,10
140,5.1668,10
141,6.2588,10
142,4.7551,10
143,5.3821,10
144,5.639,10
145,5.2181,10
146,5.7897,10
147,6.0262,10
148,4.6602,10
149,5.179,10
150,5.1838,10
151,5.6112,10
152,5.2067,10
153,5.1702,10
154,6.0994,10
155,5.5192,10
156,5.7578,10
157,5.5438,10
158,5.2254,10
159,5.216,10
160,5.7538,10
161,5.2678,10
162,5.5732,10
163,5.4694,10
164,5.1902,10
165,5.2096,10
166,5.5958,10
167,4.8115,10
168,5.2234,10
169,5.1575,10
170,5.7248,10
171,5.2689,10
172,6.1048,10
173,5.4282,10
174,5.1895,10
175,6.1049,10
176,5.4035,10
177,5.1969,10
178,5.9876,10
179,5.4026,10
180,5.171,10
181,5.8258,10
182,5.435,10
183,5.1799,10
184,5.8454,10
185,5.4009,10
186,5.3401,10
187,6.0814,10
188,5.1394,10
189,5.1946,10
190,6.2842,10
191,8.5048,10
192,5.8888,10
193,5.4243,10
194,5.3302,10
195,5.202,10
196,6.0859,10
197,13.2459,10
198,5.5697,10
199,5.6711,10
200,5.967,10
201,5.6148,10
202,5.2128,10
203,6.4935,10
204,4.9689,10
205,5.1243,10
206,5.2945,10
207,6.2514,10
208,4.758,10
209,6.781,10
210,5.435,10
211,5.9254,10
212,4.8205,10
213,5.169,10
214,5.9077,10
215,6.0168,10
216,5.3471,10
217,4.5047,10
218,6.3826,10
219,5.2841,10
220,5.141,10
221,5.8737,10
222,5.2562,10
223,5.2762,10
224,5.8114,10
225,5.6693,10
226,4.3917,10
227,6.4455,10
228,5.4587,10
229,5.3788,10
230,6.986,10
231,3.9293,10
232,5.8161,10
233,5.8553,10
234,5.3681,10
235,4.5949,10
236,6.365,10
237,5.0104,10
238,5.1556,10
239,6.2479,10
240,4.8288,10
241,5.2023,10
242,5.8094,10
243,5.442,10
244,5.1898,10
245,5.7601,10
246,5.3942,10
247,5.2367,10
248,6.1879,10
249,5.4036,10
250,5.2381,10
251,5.7829,10
252,5.4208,10
253,5.2042,10
254,5.811,10
255,5.4127,10
256,5.2146,10
257,5.6612,10
258,5.4372,10
259,5.1891,10
260,5.6822,10
261,5.4248,10
262,5.1858,10
263,5.733,10
264,5.4998,10
265,5.1956,10
266,5.2637,10
267,5.1913,10
268,5.6245,10
269,5.2137,10
270,6.2517,10
271,5.4508,10
272,5.77,10
273,5.4539,10
274,5.2019,10
275,5.9676,10
276,5.6149,10
277,5.3343,10
278,5.7162,10
279,5.6848,10
280,6.1302,10
281,5.441,10
282,5.5866,10
283,4.6266,10
284,5.8752,10
285,5.8368,10
286,5.5364,10
287,5.8524,10
288,4.8493,10
289,6.2652,10
290,5.7017,10
291,5.3925,10
292,4.572,10
293,6.2377,10
294,5.4163,10
295,5.2365,10
296,5.6884,10
297,4.8022,10
298,5.9181,10
299,5.2479,10
300,6.6163,10
301,5.076,10
302,6.12,10
303,5.4608,10
304,5.4011,10
305,5.0182,10
306,5.3214,10
307,5.6275,10
308,5.7104,10
309,5.1709,10
310,5.2014,10
311,5.375,10
312,6.4894,10
313,4.7464,10
314,6.2288,10
315,4.7699,10
316,5.3845,10
317,5.7288,10
318,5.4887,10
319,5.088,10
320,5.1603,10
321,5.7665,10
322,5.4005,10
323,5.1664,10
324,6.0126,10
325,5.1931,10
326,5.1616,10
327,6.1695,10
328,5.406,10
329,5.6366,10
330,5.5906,10
331,5.6002,10
332,5.149,10
333,5.23,10
334,5.3426,10
335,6.3323,10
336,5.5296,10
337,5.3469,10
338,5.2168,10
339,5.7254,10
340,5.458,10
341,5.7775,10
342,5.3422,10
343,5.64,10
344,4.9995,10
345,5.9934,10
346,5.7123,10
347,4.7555,10
348,6.5708,10
349,5.4266,10
350,5.2058,10
351,6.5996,10
352,5.2382,10
353,4.9844,10
354,6.0336,10
355,5.5102,10
356,5.1945,10
357,6.1101,10
358,5.2604,10
359,5.2587,10
360,6.9024,10
361,5.4726,10
362,6.2147,10
363,4.8866,10
364,5.1916,10
365,5.6649,10
366,5.5817,10
367,5.2743,10
368,5.5657,10
369,5.9251,10
370,8.5468,10
371,6.0954,10
372,20.7769,10
373,11.7505,10
374,13.5668,10
375,12.8749,10
376,8.8101,10
377,6.1447,10
378,4.496,10
379,6.3615,10
380,5.6806,10
381,5.7631,10
382,6.0633,10
383,5.42,10
384,5.3522,10
385,6.0561,10
386,5.6085,10
387,6.4121,10
388,5.5646,10
389,5.5594,10
390,7.1458,10
391,7.2787,10
392,5.0607,10
393,5.373,10
394,5.5626,10
395,6.1013,10
396,5.5285,10
397,5.7546,10
398,6.1593,10
399,5.6289,10
400,5.4083,10
401,5.1901,10
402,6.8469,10
403,4.8975,10
404,5.1955,10
405,5.8272,10
406,5.4987,10
407,5.4926,10
408,6.1828,10
409,5.4808,10
410,5.4419,10
411,5.4998,10
412,5.4439,10
413,5.5592,10
414,5.6039,10
415,5.1128,10
416,5.3349,10
417,7.2077,10
418,6.1263,10
419,5.4324,10
420,5.5335,10
421,5.2211,10
422,5.8903,10
423,5.8768,10
424,5.0041,10
425,5.792,10
426,5.4558,10
427,5.2264,10
428,5.3008,10
429,5.8509,10
430,6.8557,10
431,4.9017,10
432,6.4537,10
433,5.2078,10
434,5.5922,10
435,5.7529,10
436,5.4648,10
437,6.2139,10
438,5.6652,10
439,5.6887,10
440,5.5982,10
