Frame,FrameTime_ms,Spheres
1,4.2864,10
2,2.5329,10
3,9.2383,10
4,2.1275,10
5,1.5209,10
6,2.0967,10
7,1.0691,10
8,0.8172,10
9,0.7574,10
10,0.7345,10
11,1.1943,10
12,0.9326,10
13,2.7961,10
14,0.9065,10
15,0.658,10
16,0.6308,10
17,0.8099,10
18,0.7219,10
19,0.7109,10
20,0.899,10
21,1.3287,10
22,0.7896,10
23,0.6661,10
24,0.8195,10
25,0.9719,10
26,0.746,10
27,0.7475,10
28,0.8571,10
29,0.7966,10
30,0.7606,10
31,0.7552,10
32,0.682,10
33,0.6398,10
34,2.2747,10
35,4.2852,10
36,0.6673,10
37,0.9557,10
38,0.7516,10
39,0.6817,10
40,0.7106,10
41,0.6823,10
42,0.6553,10
43,0.6398,10
44,1.4761,10
45,0.9644,10
46,0.7269,10
47,0.7068,10
48,0.5932,10
49,0.7604,10
50,0.8578,10
51,0.7024,10
52,0.7278,10
53,0.795,10
54,1.438,10
55,0.7533,10
56,0.7307,10
57,0.6527,10
58,0.739,10
59,0.8298,10
60,0.5364,10
61,0.5754,10
62,0.6811,10
63,0.7062,10
64,0.7246,10
65,1.5565,10
66,0.9776,10
67,0.8039,10
68,0.8126,10
69,0.6034,10
70,0.628,10
71,0.7567,10
72,0.6229,10
73,0.5953,10
74,0.9597,10
75,0.8495,10
76,0.7207,10
77,0.7765,10
78,0.7201,10
79,0.73,10
80,0.6341,10
81,0.7124,10
82,0.7266,10
83,0.7286,10
84,0.7046,10
85,1.4166,10
86,0.5536,10
87,0.8441,10
88,0.7041,10
89,0.7358,10
90,0.6247,10
91,0.6853,10
92,0.6992,10
93,0.6722,10
94,0.9616,10
95,0.655,10
96,0.6774,10
97,0.6402,10
98,0.6302,10
99,1.0146,10
100,1.0409,10
101,0.6618,10
102,0.6726,10
103,0.8246,10
104,0.6825,10
105,0.7166,10
106,0.688,10
107,0.6427,10
108,1.6285,10
109,1.0061,10
110,0.7489,10
111,0.6773,10
112,0.7991,10
113,1.0225,10
114,0.8329,10
115,0.8408,10
116,0.9,10
117,0.8713,10
118,0.7412,10
119,0.6578,10
120,0.6825,10
121,0.7106,10
122,0.7004,10
123,0.7439,10
124,0.678,10
125,0.6916,10
126,0.6432,10
127,0.6567,10
128,0.7009,10
